subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
2,1.1423152916273434,70.41173104018165,17.60705148202183,72.27816323585125
2,1.1427083250413577,70.77134435548469,17.638538828137765,72.64730896655948
2,1.1431013584553722,71.13487933316395,17.67013433259838,73.02048031273259
2,1.1434943918693865,71.50239473454735,17.701838763451804,73.39773759330873
2,1.143887425283401,71.87395029554656,17.733652894093087,73.77914212764357
2,1.1442804586974153,72.24960674421062,17.7655775033064,74.16475625352902
2,1.1446734921114299,72.62942581862161,17.797613375307904,74.55464334556346
2,1.1450665255254442,73.01347028513298,17.82976129978873,74.94886783387341
2,1.1454595589394587,73.40180395696324,17.862022071958606,75.34749522320016
2,1.145852592353473,73.7944917131469,17.894396492589582,75.75059211235299
2,1.1462456257674876,74.19159951785538,17.926885368060304,76.15822621404224
2,1.1466386591815019,74.5931944400902,17.95948951040065,76.57046637509458
2,1.1470316925955164,74.99934467376124,17.9922097373366,76.98738259706336
2,1.1474247260095307,75.41011955815291,18.025046872335746,77.40904605723742
2,1.1478177594235452,75.82558959879168,18.058001744653005,77.83552913006172
2,1.1482107928375596,76.24582648871743,18.091075189376674,78.26690540897249
2,1.1486038262515739,76.67090313017259,18.124268047475134,78.70324972866138
2,1.1489968596655884,77.1008936567135,18.157581165843737,79.14463818777278
2,1.1493898930796027,77.53587345575363,18.191015397352054,79.59114817204484
2,1.1497829264936172,77.97591919155181,18.224571600891824,80.04285837790687
2,1.1501759599076316,78.421108828646,18.258250641424958,80.49984883653428
2,1.150568993321646,78.87152165575239,18.29205339003229,80.96220093838133
2,1.1509620267356604,79.32723831012942,18.325980723962374,81.42999745819083
2,1.151355060149675,79.7883408024257,18.36003352668114,81.90332258050074
2,1.1517480935636892,80.25491254201299,18.39421268792158,82.3822619256488
2,1.1521411269777038,80.72703836282315,18.42851910373412,82.86690257629414
2,1.152534160391718,81.20480454969098,18.462953676537303,83.35733310445849
2,1.1529271938057326,81.68829886522205,18.497517315168924,83.85364359910629
2,1.153320227219747,82.17761057718829,18.5322109349378,84.35592569426638
2,1.1537132606337615,82.67283048646979,18.567035457675594,84.86427259771439
2,1.1541062940477758,83.17405095554801,18.60199181178935,85.37877912022145
2,1.1544993274617903,83.68136593756827,18.637080932314717,85.89954170538681
2,1.1548923608758046,84.1948710059754,18.672303760968976,86.42665846005922
2,1.1552853942898191,84.71466338474485,18.707661246205248,86.96022918536934
2,1.1556784277038334,85.24084197921127,18.743154343266546,87.50035540837543
2,1.1560714611178478,85.77350740751612,18.77878401424092,88.0471404143447
2,1.1564644945318623,86.31276203268152,18.81455122811652,88.60068927967724
2,1.1568575279458766,86.8587099953243,18.85045696083744,89.16110890548727
2,1.1572505613598911,87.4114572470298,18.886502195360055,89.72850805186161
2,1.1576435947739054,87.97111158438796,18.92268792170959,90.30299737279793
2,1.15803662818792,88.53778268371998,18.95901513703761,90.884689451852
2,1.1584296616019343,89.11158213649533,18.995484845679684,91.47369883849343
2,1.1588226950159488,89.69262348546769,19.032098059213524,92.07014208519955
2,1.1592157284299631,90.2810222615338,19.068855796517887,92.67413778529124
2,1.1596087618439777,90.87689602133933,19.10575908383195,93.28580661153563
2,1.160001795257992,91.48036438563969,19.142808954814676,93.90527135552385
2,1.1603948286720065,92.09154907844156,19.18000645060576,94.53265696784997
2,1.1607878620860208,92.71057396693024,19.217352619885936,95.16809059909683
2,1.1611808955000353,93.33756510221197,19.25484851893875,95.81170164165825
2,1.1615739289140496,93.97265076087679,19.29249521171222,96.46362177240361
2,1.1619669623280642,94.61596148741042,19.330293769881468,97.1239849962141
2,1.1623599957420785,95.26763013746373,19.36824527291153,97.79292769039898
2,1.162753029156093,95.92779192200807,19.406350808121353,98.47058865002143
2,1.1631460625701073,96.59658445238321,19.44461147074739,99.15710913414057
2,1.1635390959841219,97.27414778627296,19.483028364008725,99.85263291300582
2,1.1639321293981362,97.96062447461047,19.521602599172013,100.5573063162055
